,date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_pvax,deaths_fvax,deaths_tat,ma
0,2021-01-01,3,0,12,1,0,0,3,3.571428571
1,2021-01-02,9,1,9,1,0,0,2,4.571428571
2,2021-01-03,11,1,8,1,0,0,4,6.0
3,2021-01-04,7,0,10,1,0,0,2,6.571428571
4,2021-01-05,11,3,10,2,0,0,4,7.857142857
5,2021-01-06,1,1,17,3,0,0,6,7.142857143
6,2021-01-07,8,1,6,2,0,0,2,7.142857142857143
7,2021-01-08,16,3,12,1,0,0,3,9.0
8,2021-01-09,5,0,8,1,0,0,3,8.428571428571429
9,2021-01-10,9,1,12,3,0,0,6,8.142857142857142
10,2021-01-11,4,1,3,1,0,0,2,7.714285714285714
11,2021-01-12,4,0,10,1,0,0,2,6.714285714285714
12,2021-01-13,4,2,9,4,0,0,5,7.142857142857143
13,2021-01-14,15,2,13,3,0,0,5,8.142857142857142
14,2021-01-15,8,0,14,3,0,0,2,7.0
15,2021-01-16,8,1,15,2,0,0,2,7.428571428571429
16,2021-01-17,7,1,11,3,0,0,1,7.142857142857143
17,2021-01-18,4,0,16,1,0,0,2,7.142857142857143
18,2021-01-19,14,1,10,2,0,0,2,8.571428571428571
19,2021-01-20,11,1,20,5,0,0,4,9.571428571428571
20,2021-01-21,12,2,15,5,0,0,2,9.142857142857142
21,2021-01-22,18,4,16,3,0,0,2,10.571428571428571
22,2021-01-23,7,0,15,1,0,0,1,10.428571428571429
23,2021-01-24,11,2,11,1,0,0,3,11.0
24,2021-01-25,11,3,16,4,0,0,2,12.0
25,2021-01-26,11,2,20,2,0,0,4,11.571428571428571
26,2021-01-27,7,0,16,6,0,0,2,11.0
27,2021-01-28,10,2,12,0,0,0,3,10.714285714285714
28,2021-01-29,16,5,19,2,0,0,4,10.428571428571429
29,2021-01-30,13,3,13,2,0,0,2,11.285714285714286
30,2021-01-31,14,2,18,2,0,0,5,11.714285714285714
31,2021-02-01,10,0,15,2,0,0,1,11.571428571428571
32,2021-02-02,21,0,14,1,0,0,3,13.0
33,2021-02-03,18,4,20,3,0,0,2,14.571428571428571
34,2021-02-04,17,3,22,2,0,0,2,15.571428571428571
35,2021-02-05,19,2,8,2,0,0,2,16.0
36,2021-02-06,12,3,16,1,0,0,2,15.857142857142858
37,2021-02-07,15,3,12,0,0,0,1,16.0
38,2021-02-08,24,6,23,6,0,0,3,18.0
39,2021-02-09,13,0,13,0,0,0,1,16.857142857142858
40,2021-02-10,14,0,11,2,0,0,2,16.285714285714285
41,2021-02-11,1,0,13,0,0,0,0,14.0
42,2021-02-12,18,1,6,0,0,0,1,13.857142857142858
43,2021-02-13,6,1,15,2,0,0,3,13.0
44,2021-02-14,8,0,9,1,0,0,1,12.0
45,2021-02-15,11,0,14,3,0,0,5,10.142857142857142
46,2021-02-16,9,1,12,1,0,0,1,9.571428571428571
47,2021-02-17,23,2,7,1,0,0,3,10.857142857142858
48,2021-02-18,1,0,7,2,0,0,14,10.857142857142858
49,2021-02-19,39,7,9,1,0,0,10,13.857142857142858
50,2021-02-20,9,1,8,0,0,0,1,14.285714285714286
51,2021-02-21,6,1,5,0,0,0,3,14.0
52,2021-02-22,7,2,10,1,0,0,2,13.428571428571429
53,2021-02-23,20,6,10,2,0,0,4,15.0
54,2021-02-24,12,1,5,0,0,0,7,13.428571428571429
55,2021-02-25,13,2,6,1,0,0,32,15.142857142857142
56,2021-02-26,10,5,3,0,0,0,28,11.0
57,2021-02-27,10,2,10,1,0,0,4,11.142857142857142
58,2021-02-28,9,0,5,0,0,0,2,11.571428571428571
59,2021-03-01,5,0,4,0,0,0,11,11.285714285714286
60,2021-03-02,6,1,9,2,0,0,2,9.285714285714286
61,2021-03-03,7,0,4,0,0,0,3,8.571428571428571
62,2021-03-04,5,0,3,0,0,0,2,7.428571428571429
63,2021-03-05,6,1,8,1,0,0,21,6.857142857142857
64,2021-03-06,7,0,4,0,0,0,1,6.428571428571429
65,2021-03-07,3,0,5,0,0,0,11,5.571428571428571
66,2021-03-08,8,1,6,1,0,0,2,6.0
67,2021-03-09,9,2,8,0,0,0,4,6.428571428571429
68,2021-03-10,5,0,7,1,0,0,1,6.142857142857143
