,Unnamed: 0,Unnamed: 0.1,date,cases_new,ma,checkins,unique_ind,unique_loc
0,0,0,2021-01-01,2068,1930.438571,18926326,6711607,421727
1,1,1,2021-01-02,2295,1924.714286,19434472,6900125,540969
2,2,2,2021-01-03,1704,1997.285714,17311378,6428235,422131
3,3,3,2021-01-04,1741,2018.285714,18401907,6967121,643675
4,4,4,2021-01-05,2027,2032.857143,18201420,6929788,655403
5,5,5,2021-01-06,2593,2136.142857,18869979,7026330,657441
6,6,6,2021-01-07,3027,2207.8571428571427,18931767,7097677,662957
7,7,7,2021-01-08,2643,2290.0,19915758,7278100,641290
8,8,8,2021-01-09,2451,2312.285714285714,21085991,7305813,586433
9,9,9,2021-01-10,2433,2416.428571428572,19424249,6894019,450422
10,10,10,2021-01-11,2232,2486.5714285714284,19331401,7212733,661171
11,11,11,2021-01-12,3309,2669.714285714286,21277039,7637641,678841
12,12,12,2021-01-13,2985,2725.714285714286,12368785,5526663,567284
13,13,13,2021-01-14,3337,2770.0,12699650,5651721,579603
14,14,14,2021-01-15,3211,2851.1428571428573,13198380,5774728,564755
15,15,15,2021-01-16,4029,3076.5714285714284,13149189,5553484,511544
16,16,16,2021-01-17,3339,3206.0,11537092,5044539,384070
17,17,17,2021-01-18,3306,3359.428571428572,13361664,5857647,603723
18,18,18,2021-01-19,3631,3405.428571428572,13609735,5941499,616950
19,19,19,2021-01-20,4008,3551.5714285714284,14322712,6104716,631944
20,20,20,2021-01-21,3170,3527.714285714286,14645908,6207112,633962
21,21,21,2021-01-22,3631,3587.714285714286,12747172,5646106,578087
22,22,22,2021-01-23,4275,3622.857142857143,13123717,5561103,528690
23,23,23,2021-01-24,3346,3623.857142857143,11913854,5163482,400858
24,24,24,2021-01-25,3048,3587.0,14453975,6135813,630147
25,25,25,2021-01-26,3585,3580.428571428572,14476206,6167202,637399
26,26,26,2021-01-27,3680,3533.5714285714284,14178162,6100884,639082
27,27,27,2021-01-28,4094,3665.571428571429,13082128,5617716,551022
28,28,28,2021-01-29,5725,3964.714285714286,14491024,6114282,600777
29,29,29,2021-01-30,5728,4172.285714285715,14444050,5902356,539958
30,30,30,2021-01-31,5298,4451.142857142857,13066667,5446509,404796
31,31,31,2021-02-01,4214,4617.714285714285,14277622,6077873,606065
32,32,32,2021-02-02,3455,4599.142857142857,14495355,6178686,637548
33,33,33,2021-02-03,4284,4685.428571428572,14483891,6172804,640603
34,34,34,2021-02-04,4571,4753.571428571428,14837558,6264023,643570
35,35,35,2021-02-05,3391,4420.142857142857,15346527,6348371,631432
36,36,36,2021-02-06,3847,4151.428571428572,15851608,6240940,576900
37,37,37,2021-02-07,3731,3927.571428571429,14598295,5836426,445306
38,38,38,2021-02-08,3100,3768.428571428572,15782198,6482081,669890
39,39,39,2021-02-09,2764,3669.714285714286,16536762,6639219,675092
40,40,40,2021-02-10,3288,3527.428571428572,19969936,7159656,683988
41,41,41,2021-02-11,3384,3357.8571428571427,17705392,6687146,564963
42,42,42,2021-02-12,3318,3347.428571428572,11598497,4874176,332700
43,43,43,2021-02-13,3499,3297.714285714286,13513094,5414264,373918
44,44,44,2021-02-14,2464,3116.714285714286,15123506,5843528,383941
45,45,45,2021-02-15,2176,2984.714285714286,17528045,6808231,628304
46,46,46,2021-02-16,2720,2978.428571428572,17747942,6908032,670086
47,47,47,2021-02-17,2998,2937.0,17737886,6958746,699252
48,48,48,2021-02-18,2712,2841.0,17668192,7008001,709424
49,49,49,2021-02-19,2936,2786.428571428572,18780711,7256724,683099
50,50,50,2021-02-20,2461,2638.1428571428573,19835778,7213889,616338
51,51,51,2021-02-21,3297,2757.1428571428573,19071748,7007353,494490
52,52,52,2021-02-22,2192,2759.428571428572,18592729,7269500,726783
53,53,53,2021-02-23,2468,2723.428571428572,19052501,7396367,737939
54,54,54,2021-02-24,3545,2801.5714285714284,19689234,7518288,742444
55,55,55,2021-02-25,1924,2689.0,20130990,7666194,746387
56,56,56,2021-02-26,2253,2591.428571428572,20975140,7806991,699687
57,57,57,2021-02-27,2364,2577.5714285714284,22978495,7891208,653849
58,58,58,2021-02-28,2437,2454.714285714286,22162834,7669665,508206
59,59,59,2021-03-01,1828,2402.714285714286,20953407,7840380,744902
60,60,60,2021-03-02,1555,2272.285714285714,20700283,7793948,755392
61,61,61,2021-03-03,1745,2015.142857142857,21190929,7900984,760762
62,62,62,2021-03-04,2063,2035.0,20958097,7873858,757199
63,63,63,2021-03-05,2154,2020.857142857143,22735217,8189101,727074
64,64,64,2021-03-06,1680,1923.142857142857,24744388,8244487,661789
65,65,65,2021-03-07,1683,1815.4285714285716,23815997,8014707,515797
66,66,66,2021-03-08,1529,1772.7142857142858,22047643,8089433,755753
67,67,67,2021-03-09,1280,1733.428571428571,21883324,8083106,768910
68,68,68,2021-03-10,1448,1691.0,22178402,8116565,770418
69,69,69,2021-03-11,1647,1631.571428571429,21525692,7991892,757449
70,70,70,2021-03-12,1575,1548.857142857143,24207087,8489338,761649
71,71,71,2021-03-13,1470,1518.857142857143,28119159,8877443,726535
72,72,72,2021-03-14,1354,1471.857142857143,26690371,8550602,566238
73,73,73,2021-03-15,1208,1426.0,25099040,8684914,832660
74,74,74,2021-03-16,1063,1395.0,25329641,8779561,852516
75,75,75,2021-03-17,1219,1362.2857142857142,26155181,8900957,861807
76,76,76,2021-03-18,1213,1300.2857142857142,26201631,8969359,860874
77,77,77,2021-03-19,1576,1300.428571428571,27595331,9182252,821253
78,78,78,2021-03-20,1671,1329.142857142857,29689492,9254296,750901
79,79,79,2021-03-21,1327,1325.2857142857142,27617156,8840413,581672
80,80,80,2021-03-22,1116,1312.142857142857,25754661,8898696,836874
81,81,81,2021-03-23,1384,1358.0,25172905,8795675,809319
