,Unnamed: 0,state,total2,totald2,deaths_bid2,deaths_pva2,deaths_fvax2,totald,deaths_bid,deaths_pvax,deaths_fvax,total,population
0,0,Johor,200412,3406,415,806,365,34,1,0,0,5734,3794000
1,1,Kedah,137801,1894,295,398,169,12,0,0,0,3024,2194100
2,2,Kelantan,125622,899,186,146,96,8,0,0,0,758,1928800
3,3,Melaka,59769,864,110,220,74,7,0,0,0,1225,937500
4,4,Negeri Sembilan,91416,1193,124,245,55,13,2,0,0,7828,1129100
5,5,Pahang,69512,609,76,102,53,7,1,0,0,1365,1684600
6,6,Perak,106338,953,133,190,163,16,1,0,0,3195,2508900
7,7,Perlis,4613,88,6,16,14,2,0,0,0,46,255400
8,8,Pulau Pinang,133832,1478,329,291,250,9,1,0,0,3488,1774400
9,9,Sabah,169008,2085,776,318,200,265,122,0,0,37040,3833000
10,10,Sarawak,224559,980,187,99,282,19,1,0,0,1117,2822200
11,11,Selangor,658608,9436,2018,2417,548,45,1,0,0,32395,6555400
12,12,Terengganu,62279,407,42,81,41,1,0,0,0,325,1275100
13,13,W.P. Kuala Lumpur,175036,2499,659,615,205,22,1,0,0,13487,1746600
14,14,W.P. Labuan,8286,141,38,12,1,8,4,0,0,1701,100100
15,15,W.P. Putrajaya,6202,19,0,6,0,3,1,0,0,282,116100
